,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,4,spalding,Centre College,Spalding,51-70,51,70,"7, 15, 10, 19","16, 20, 21, 13",7,15,10,19,16,20,21,13,No record reported,No record reported,11/22/16,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,4,spalding,Centre College,Spalding,51-70,51,70,"7, 15, 10, 19","16, 20, 21, 13",7,15,10,19,16,20,21,13,No record reported,No record reported,11/22/16,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,1,09:31,"MISS JUMPER by ANDREASSEN,CAROLINE",,,,,,,"MISS JUMPER by ANDREASSEN,CAROLINE",1,jumper,missed,Centre,caroline andreassen,,571
2,4,spalding,Centre College,Spalding,51-70,51,70,"7, 15, 10, 19","16, 20, 21, 13",7,15,10,19,16,20,21,13,No record reported,No record reported,11/22/16,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,2,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
3,4,spalding,Centre College,Spalding,51-70,51,70,"7, 15, 10, 19","16, 20, 21, 13",7,15,10,19,16,20,21,13,No record reported,No record reported,11/22/16,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,3,09:10,,,,,"MISS JUMPER by HARDIN,MAYA",,,"MISS JUMPER by HARDIN,MAYA",1,jumper,missed,spalding,maya hardin,,550
4,4,spalding,Centre College,Spalding,51-70,51,70,"7, 15, 10, 19","16, 20, 21, 13",7,15,10,19,16,20,21,13,No record reported,No record reported,11/22/16,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,4,--,,,,,"REBOUND OFF by HARDIN,MAYA",,,"REBOUND OFF by HARDIN,MAYA",1,offensive rebound,,spalding,maya hardin,,
5,4,spalding,Centre College,Spalding,51-70,51,70,"7, 15, 10, 19","16, 20, 21, 13",7,15,10,19,16,20,21,13,No record reported,No record reported,11/22/16,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,5,09:06,,,,,"MISS JUMPER by HARDIN,MAYA",,,"MISS JUMPER by HARDIN,MAYA",1,jumper,missed,spalding,maya hardin,,546
6,4,spalding,Centre College,Spalding,51-70,51,70,"7, 15, 10, 19","16, 20, 21, 13",7,15,10,19,16,20,21,13,No record reported,No record reported,11/22/16,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,6,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
7,4,spalding,Centre College,Spalding,51-70,51,70,"7, 15, 10, 19","16, 20, 21, 13",7,15,10,19,16,20,21,13,No record reported,No record reported,11/22/16,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,7,08:57,"MISS JUMPER by VANCE,DAY",,,,,,,"MISS JUMPER by VANCE,DAY",1,jumper,missed,Centre,day vance,,537
8,4,spalding,Centre College,Spalding,51-70,51,70,"7, 15, 10, 19","16, 20, 21, 13",7,15,10,19,16,20,21,13,No record reported,No record reported,11/22/16,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,8,--,,,,,"REBOUND DEF by MARTIN,ALEX",,,"REBOUND DEF by MARTIN,ALEX",1,defensive rebound,,spalding,alex martin,,
9,4,spalding,Centre College,Spalding,51-70,51,70,"7, 15, 10, 19","16, 20, 21, 13",7,15,10,19,16,20,21,13,No record reported,No record reported,11/22/16,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,9,08:49,,0,,3 (+3),"GOOD 3PTR by HARDIN,MAYA",SU 0-3 (-3),,"GOOD 3PTR by HARDIN,MAYA",1,three pointer,good,spalding,maya hardin,3,529
