,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,MT. ST.,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,1,09:29,,,,,"FOUL  by BROWN,TAYLOR",,,"FOUL  by BROWN,TAYLOR",1,foul,,mt. st. joseph,taylor brown,,569
2,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,2,09:28,"GOOD 3PTR by MILLER,LAKKEN",3 (+3),,0,,CENTRE 3-0 (+3),,"GOOD 3PTR by MILLER,LAKKEN",1,three pointer,good,Centre,lakken miller,3,568
3,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,3,09:28,,,,,"TURNOVER  by BROWN,TAYLOR",,,"TURNOVER  by BROWN,TAYLOR",1,turnover,,mt. st. joseph,taylor brown,,568
4,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,4,09:28,"MISS JUMPER by VANCE,DAY",,,,,,,"MISS JUMPER by VANCE,DAY",1,jumper,missed,Centre,day vance,,568
5,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,5,--,,,,,"REBOUND DEF by STUDER,LAINEE",,,"REBOUND DEF by STUDER,LAINEE",1,defensive rebound,,mt. st. joseph,lainee studer,,
6,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,6,09:26,"FOUL  by MILLER,LAKKEN",,,,,,,"FOUL  by MILLER,LAKKEN",1,foul,,Centre,lakken miller,,566
7,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,7,09:26,,3 (+1),,2,"GOOD LAYUP by STUDER,LAINEE(in the paint)",MT. ST. 3-2 (+1),,"GOOD LAYUP by STUDER,LAINEE(in the paint)",1,layup,good,mt. st. joseph,lainee studer,2,566
8,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,8,--,,,,,"ASSIST  by WANNEMACHER,KRYSTAL",,,"ASSIST  by WANNEMACHER,KRYSTAL",1,assist,,mt. st. joseph,krystal wannemacher,,
9,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,9,09:18,"GOOD 3PTR by SCHAD,OLIVIA",6 (+4),,2,,CENTRE 6-2 (+4),,"GOOD 3PTR by SCHAD,OLIVIA",1,three pointer,good,Centre,olivia schad,3,558
