,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,MVCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,8,maryville-tenn-,CENTRE-W,Maryville College,47-72,47,72,"6, 14, 12, 15, 47","13, 20, 25, 14, 72",6,14,12,15,47,13,20,25,14,72,2-6,6-2,12/15/16,Lose,531,No Location Recorded,7:00 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,8,maryville-tenn-,CENTRE-W,Maryville College,47-72,47,72,"6, 14, 12, 15, 47","13, 20, 25, 14, 72",6,14,12,15,47,13,20,25,14,72,2-6,6-2,12/15/16,Lose,531,No Location Recorded,7:00 p.m.,A,1,09:44,"GOOD JUMPER by VANCE,DAY",2 (+2),,0,,CENTRE-W 2-0 (+2),,"GOOD JUMPER by VANCE,DAY",1,jumper,good,Centre,day vance,2,584
2,8,maryville-tenn-,CENTRE-W,Maryville College,47-72,47,72,"6, 14, 12, 15, 47","13, 20, 25, 14, 72",6,14,12,15,47,13,20,25,14,72,2-6,6-2,12/15/16,Lose,531,No Location Recorded,7:00 p.m.,A,2,09:18,,2,,3 (+1),"GOOD 3PTR by BILITER,LAUREN",MVCW 2-3 (-1),,"GOOD 3PTR by BILITER,LAUREN",1,three pointer,good,maryville college,lauren biliter,3,558
3,8,maryville-tenn-,CENTRE-W,Maryville College,47-72,47,72,"6, 14, 12, 15, 47","13, 20, 25, 14, 72",6,14,12,15,47,13,20,25,14,72,2-6,6-2,12/15/16,Lose,531,No Location Recorded,7:00 p.m.,A,3,--,,,,,"ASSIST  by FREIERMUTH,ALLYSON",,,"ASSIST  by FREIERMUTH,ALLYSON",1,assist,,maryville college,allyson freiermuth,,
4,8,maryville-tenn-,CENTRE-W,Maryville College,47-72,47,72,"6, 14, 12, 15, 47","13, 20, 25, 14, 72",6,14,12,15,47,13,20,25,14,72,2-6,6-2,12/15/16,Lose,531,No Location Recorded,7:00 p.m.,A,4,08:41,"MISS JUMPER by MILLER,LAKKEN",,,,,,,"MISS JUMPER by MILLER,LAKKEN",1,jumper,missed,Centre,lakken miller,,521
5,8,maryville-tenn-,CENTRE-W,Maryville College,47-72,47,72,"6, 14, 12, 15, 47","13, 20, 25, 14, 72",6,14,12,15,47,13,20,25,14,72,2-6,6-2,12/15/16,Lose,531,No Location Recorded,7:00 p.m.,A,5,08:41,,,,,"BLOCK  by FREIERMUTH,ALLYSON",,,"BLOCK  by FREIERMUTH,ALLYSON",1,block,,maryville college,allyson freiermuth,,521
6,8,maryville-tenn-,CENTRE-W,Maryville College,47-72,47,72,"6, 14, 12, 15, 47","13, 20, 25, 14, 72",6,14,12,15,47,13,20,25,14,72,2-6,6-2,12/15/16,Lose,531,No Location Recorded,7:00 p.m.,A,6,--,,,,,"REBOUND DEF by FREIERMUTH,ALLYSON",,,"REBOUND DEF by FREIERMUTH,ALLYSON",1,defensive rebound,,maryville college,allyson freiermuth,,
7,8,maryville-tenn-,CENTRE-W,Maryville College,47-72,47,72,"6, 14, 12, 15, 47","13, 20, 25, 14, 72",6,14,12,15,47,13,20,25,14,72,2-6,6-2,12/15/16,Lose,531,No Location Recorded,7:00 p.m.,A,7,08:34,,,,,"MISS LAYUP by MAPLES,MADISON",,,"MISS LAYUP by MAPLES,MADISON",1,layup,missed,maryville college,madison maples,,514
8,8,maryville-tenn-,CENTRE-W,Maryville College,47-72,47,72,"6, 14, 12, 15, 47","13, 20, 25, 14, 72",6,14,12,15,47,13,20,25,14,72,2-6,6-2,12/15/16,Lose,531,No Location Recorded,7:00 p.m.,A,8,--,"REBOUND DEF by STEWART,ABIGAIL",,,,,,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
9,8,maryville-tenn-,CENTRE-W,Maryville College,47-72,47,72,"6, 14, 12, 15, 47","13, 20, 25, 14, 72",6,14,12,15,47,13,20,25,14,72,2-6,6-2,12/15/16,Lose,531,No Location Recorded,7:00 p.m.,A,9,08:09,"MISS LAYUP by STEWART,ABIGAIL",,,,,,,"MISS LAYUP by STEWART,ABIGAIL",1,layup,missed,Centre,abigail stewart,,489
