,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HUNTW,Away Team Score,Play Team Indicator,Home Team Score,CENW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,1,09:50,"MISS LAYUP by DORMAN,JENNA",,,,,,,"MISS LAYUP by DORMAN,JENNA",1,layup,missed,huntingdon,jenna dorman,,590
2,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,2,--,,,,,"REBOUND DEF by VANCE,DAY",,,"REBOUND DEF by VANCE,DAY",1,defensive rebound,,Centre,day vance,,
3,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,3,09:42,,0,,2 (+2),"GOOD LAYUP by STEWART,ABIGAIL(fastbreak)(in the paint)",CENW 0-2 (+2),,"GOOD LAYUP by STEWART,ABIGAIL(fastbreak)(in the paint)",1,layup,good,Centre,abigail(fastbreak) stewart,2,582
4,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,4,--,,,,,"ASSIST  by MILLER,LAKKEN",,,"ASSIST  by MILLER,LAKKEN",1,assist,,Centre,lakken miller,,
5,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,5,09:28,"MISS LAYUP by HARP,JULIETTE",,,,,,,"MISS LAYUP by HARP,JULIETTE",1,layup,missed,huntingdon,juliette harp,,568
6,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,6,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
7,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,7,09:13,"FOUL  by WEATHERSPOON,JELLO",,,,,,,"FOUL  by WEATHERSPOON,JELLO",1,foul,,huntingdon,jello weatherspoon,,553
8,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,8,09:05,,,,,"MISS LAYUP by ANDREASSEN,CAROLINE",,,"MISS LAYUP by ANDREASSEN,CAROLINE",1,layup,missed,Centre,caroline andreassen,,545
9,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,9,--,"REBOUND DEF by DUNCAN,TI",,,,,,,"REBOUND DEF by DUNCAN,TI",1,defensive rebound,,huntingdon,ti duncan,,
