,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,CCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,1,09:42,"MISS 3PTR by WILSON,KATHLEEN",,,,,,,"MISS 3PTR by WILSON,KATHLEEN",1,three pointer,missed,Centre,kathleen wilson,,582
2,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,2,--,,,,,"REBOUND DEF by SMITH,JOANNA",,,"REBOUND DEF by SMITH,JOANNA",1,defensive rebound,,covenant,joanna smith,,
3,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,3,09:32,,0,,3 (+3),"GOOD 3PTR by WALTER,BEKAH",CCW 0-3 (-3),,"GOOD 3PTR by WALTER,BEKAH",1,three pointer,good,covenant,bekah walter,3,572
4,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,4,09:03,"TURNOVER  by SCHAD,OLIVIA",,,,,,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,543
5,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,5,08:39,,0,,5 (+5),"GOOD LAYUP by BELL,JESSICA(in the paint)",CCW 0-5 (-5),,"GOOD LAYUP by BELL,JESSICA(in the paint)",1,layup,good,covenant,jessica bell,2,519
6,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,6,08:15,"MISS JUMPER by WILSON,KATHLEEN",,,,,,,"MISS JUMPER by WILSON,KATHLEEN",1,jumper,missed,Centre,kathleen wilson,,495
7,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,7,--,,,,,"REBOUND DEF by BELL,JESSICA",,,"REBOUND DEF by BELL,JESSICA",1,defensive rebound,,covenant,jessica bell,,
8,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,8,08:09,,,,,"TURNOVER  by HALLMARK,KALEY",,,"TURNOVER  by HALLMARK,KALEY",1,turnover,,covenant,kaley hallmark,,489
9,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,9,07:54,"MISS JUMPER by STEWART,ABIGAIL",,,,,,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,474
10,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,10,--,,,,,"REBOUND DEF by SMITH,JOANNA",,,"REBOUND DEF by SMITH,JOANNA",1,defensive rebound,,covenant,joanna smith,,
11,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,11,07:45,,0,,7 (+7),"GOOD LAYUP by SMITH,JOANNA(in the paint)",CCW 0-7 (-7),,"GOOD LAYUP by SMITH,JOANNA(in the paint)",1,layup,good,covenant,joanna smith,2,465
12,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,12,07:32,"MISS JUMPER by STEWART,ABIGAIL",,,,,,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,452
13,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,13,--,,,,,"REBOUND DEF by SMITH,JOANNA",,,"REBOUND DEF by SMITH,JOANNA",1,defensive rebound,,covenant,joanna smith,,
14,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,14,07:22,,0,,10 (+10),"GOOD 3PTR by WALTER,BEKAH",CCW 0-10 (-10),,"GOOD 3PTR by WALTER,BEKAH",1,three pointer,good,covenant,bekah walter,3,442
15,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,15,--,,,,,"ASSIST  by BELL,JESSICA",,,"ASSIST  by BELL,JESSICA",1,assist,,covenant,jessica bell,,
16,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,16,07:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,438
17,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,17,07:18,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1,timeout,,Centre,,,438
18,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,18,07:18,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,438
19,10,covenant,Centre,Covenant,59-41,59,41,"8, 15, 23, 13, 59","16, 11, 5, 9, 41",8,15,23,13,59,16,11,5,9,41,9-1,4-5,12/29/17,Win,86,No Location Recorded,7 p.m.,A,19,07:18,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,438
