,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,1,09:37,"TURNOVER  by FUJII,MISA",,,,,,,"TURNOVER  by FUJII,MISA",1,turnover,,birmingham southern,misa fujii,,577
2,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,2,09:05,,,,,"MISS 3PTR by RICE,MADISON",,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,545
3,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,3,--,"REBOUND DEF by MIDDLETON,LEAH",,,,,,,"REBOUND DEF by MIDDLETON,LEAH",1,defensive rebound,,birmingham southern,leah middleton,,
4,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,4,08:46,"MISS LAYUP by HOGAN,KAITLIN",,,,,,,"MISS LAYUP by HOGAN,KAITLIN",1,layup,missed,birmingham southern,kaitlin hogan,,526
5,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,5,--,"REBOUND OFF by OLSEN,EMILEE",,,,,,,"REBOUND OFF by OLSEN,EMILEE",1,offensive rebound,,birmingham southern,emilee olsen,,
6,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,6,08:36,"GOOD JUMPER by OLSEN,EMILEE",2 (+2),,0,,BIRMINGH 2-0 (-2),,"GOOD JUMPER by OLSEN,EMILEE",1,jumper,good,birmingham southern,emilee olsen,2,516
7,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,7,08:26,,,,,"MISS 3PTR by RICE,MADISON",,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,506
8,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,8,--,"REBOUND DEF by PHILPOT,ELIZABETH",,,,,,,"REBOUND DEF by PHILPOT,ELIZABETH",1,defensive rebound,,birmingham southern,elizabeth philpot,,
9,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,9,08:11,"MISS JUMPER by FUJII,MISA",,,,,,,"MISS JUMPER by FUJII,MISA",1,jumper,missed,birmingham southern,misa fujii,,491
10,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,10,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
11,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,11,07:55,,,,,"MISS JUMPER by STEWART,ABIGAIL",,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,475
12,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,12,--,"REBOUND OFF by OLSEN,EMILEE",,,,,,,"REBOUND OFF by OLSEN,EMILEE",1,offensive rebound,,birmingham southern,emilee olsen,,
13,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,13,07:41,"TURNOVER  by FUJII,MISA",,,,,,,"TURNOVER  by FUJII,MISA",1,turnover,,birmingham southern,misa fujii,,461
14,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,14,07:34,,,,,"STEAL  by WILSON,KATHLEEN",,,"STEAL  by WILSON,KATHLEEN",1,steal,,Centre,,,454
15,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,15,07:32,,2,,2,"GOOD LAYUP by WILSON,KATHLEEN(in the paint)",CENTRE-W 2-2 (0),,"GOOD LAYUP by WILSON,KATHLEEN(in the paint)",1,layup,good,Centre,kathleen wilson,2,452
16,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,16,07:12,"GOOD LAYUP by OLSEN,EMILEE(in the paint)",4 (+2),,2,,BIRMINGH 4-2 (-2),,"GOOD LAYUP by OLSEN,EMILEE(in the paint)",1,layup,good,birmingham southern,emilee olsen,2,432
17,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,17,--,"ASSIST  by PHILPOT,ELIZABETH",,,,,,,"ASSIST  by PHILPOT,ELIZABETH",1,assist,,birmingham southern,elizabeth philpot,,
18,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,18,06:51,,,,,"TURNOVER  by WILSON,KATHLEEN",,,"TURNOVER  by WILSON,KATHLEEN",1,turnover,,Centre,kathleen wilson,,411
