,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MILWB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,1,09:41,,0,,2 (+2),"GOOD JUMPER by KELLAM,PAIGE",CENTRE-W 0-2 (+2),,"GOOD JUMPER by KELLAM,PAIGE",1,jumper,good,Centre,paige kellam,2,581
2,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,2,09:21,"TURNOVER  by WILSON,ANNA",,,,,,,"TURNOVER  by WILSON,ANNA",1,turnover,,millsaps,anna wilson,,561
3,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,3,09:18,,,,,"STEAL  by KELLAM,PAIGE",,,"STEAL  by KELLAM,PAIGE",1,steal,,Centre,,,558
4,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,4,09:15,,0,,4 (+4),"GOOD JUMPER by STEWART,ABIGAIL(fastbreak)(in the paint)",CENTRE-W 0-4 (+4),,"GOOD JUMPER by STEWART,ABIGAIL(fastbreak)(in the paint)",1,jumper,good,Centre,abigail(fastbreak) stewart,2,555
5,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,5,--,,,,,"ASSIST  by KELLAM,PAIGE",,,"ASSIST  by KELLAM,PAIGE",1,assist,,Centre,paige kellam,,
6,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,6,09:02,"MISS LAYUP by THOMAS,BRAXTON",,,,,,,"MISS LAYUP by THOMAS,BRAXTON",1,layup,missed,millsaps,braxton thomas,,542
7,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,7,--,,,,,"REBOUND DEF by RICE,MADISON",,,"REBOUND DEF by RICE,MADISON",1,defensive rebound,,Centre,madison rice,,
8,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,8,08:52,,,,,"MISS 3PTR by RICE,MADISON",,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,532
9,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,9,--,"REBOUND DEF by THOMAS,BRAXTON",,,,,,,"REBOUND DEF by THOMAS,BRAXTON",1,defensive rebound,,millsaps,braxton thomas,,
