,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENW,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,1,09:54,,,,,"MISS LAYUP by RANSOM,LAUREN",,,"MISS LAYUP by RANSOM,LAUREN",1,layup,missed,oglethorpe,lauren ransom,,594
2,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,2,--,"REBOUND DEF by STEWART,ABIGAIL",,,,,,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
3,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,3,09:25,"MISS LAYUP by WILSON,KATHLEEN",,,,,,,"MISS LAYUP by WILSON,KATHLEEN",1,layup,missed,Centre,kathleen wilson,,565
4,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,4,09:25,,,,,"BLOCK  by RANSOM,LAUREN",,,"BLOCK  by RANSOM,LAUREN",1,block,,oglethorpe,lauren ransom,,565
5,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,5,--,,,,,"REBOUND DEF by LEGATE,SAVANNAH",,,"REBOUND DEF by LEGATE,SAVANNAH",1,defensive rebound,,oglethorpe,savannah legate,,
6,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,6,09:15,,,,,"TURNOVER  by RANSOM,LAUREN",,,"TURNOVER  by RANSOM,LAUREN",1,turnover,,oglethorpe,lauren ransom,,555
7,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,7,09:00,"GOOD JUMPER by STEWART,ABIGAIL",2 (+2),,0,,CENW 2-0 (+2),,"GOOD JUMPER by STEWART,ABIGAIL",1,jumper,good,Centre,abigail stewart,2,540
8,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,8,--,"ASSIST  by SCHAD,OLIVIA",,,,,,,"ASSIST  by SCHAD,OLIVIA",1,assist,,Centre,olivia schad,,
9,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,9,08:46,"FOUL  by SCHAD,OLIVIA",,,,,,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,526
