,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HXW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,1,09:49,"TURNOVER  by KELLAM,PAIGE",,,,,,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,589
2,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,2,09:26,,0,,2 (+2),"GOOD JUMPER by BOEHL,LEAH",HXW 0-2 (-2),,"GOOD JUMPER by BOEHL,LEAH",1,jumper,good,hendrix,leah boehl,2,566
3,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,3,09:10,,,,,"FOUL  by TURNER,AMBER",,,"FOUL  by TURNER,AMBER",1,foul,,hendrix,amber turner,,550
4,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,4,09:10,"GOOD FT by WILSON,KATHLEEN",1,,2 (+1),,CENTRE-W 1-2 (-1),,"GOOD FT by WILSON,KATHLEEN",1,free throw,good,Centre,kathleen wilson,1,550
5,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,5,09:10,"GOOD FT by WILSON,KATHLEEN",2,,2,,CENTRE-W 2-2 (0),,"GOOD FT by WILSON,KATHLEEN",1,free throw,good,Centre,kathleen wilson,1,550
6,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,6,08:50,,,,,"MISS JUMPER by DANIEL,VINESSA",,,"MISS JUMPER by DANIEL,VINESSA",1,jumper,missed,hendrix,vinessa daniel,,530
7,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,7,--,"REBOUND DEF by STEWART,ABIGAIL",,,,,,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
8,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,8,08:40,"TURNOVER  by KELLAM,PAIGE",,,,,,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,520
9,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,9,08:31,"FOUL  by KELLAM,PAIGE",,,,,,,"FOUL  by KELLAM,PAIGE",1,foul,,Centre,paige kellam,,511
10,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,10,08:31,"SUB IN by WEHBY,ABIGAIL",,,,,,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,511
11,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,11,08:31,"SUB OUT by KELLAM,PAIGE",,,,,,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,511
