,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,1,09:46,"MISS JUMPER by USTICK,JESSIE",,,,,,,"MISS JUMPER by USTICK,JESSIE",1,jumper,missed,rhodes,jessie ustick,,586
2,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,2,--,"REBOUND OFF by WHITESIDE,LINDSEY",,,,,,,"REBOUND OFF by WHITESIDE,LINDSEY",1,offensive rebound,,rhodes,lindsey whiteside,,
3,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,3,09:43,"TURNOVER  by WHITESIDE,LINDSEY",,,,,,,"TURNOVER  by WHITESIDE,LINDSEY",1,turnover,,rhodes,lindsey whiteside,,583
4,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,4,09:41,,,,,"STEAL  by KELLAM,PAIGE",,,"STEAL  by KELLAM,PAIGE",1,steal,,Centre,,,581
5,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,5,09:23,,,,,"MISS 3PTR by RICE,MADISON",,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,563
6,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,6,--,"REBOUND DEF by OWENS,ALYSSA",,,,,,,"REBOUND DEF by OWENS,ALYSSA",1,defensive rebound,,rhodes,alyssa owens,,
7,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,7,09:10,"GOOD LAYUP by OWENS,ALYSSA(in the paint)",2 (+2),,0,,RHODES 2-0 (-2),,"GOOD LAYUP by OWENS,ALYSSA(in the paint)",1,layup,good,rhodes,alyssa owens,2,550
8,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,8,08:39,,,,,"MISS JUMPER by KELLAM,PAIGE",,,"MISS JUMPER by KELLAM,PAIGE",1,jumper,missed,Centre,paige kellam,,519
9,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,9,08:39,"BLOCK  by DEERY,ERIN",,,,,,,"BLOCK  by DEERY,ERIN",1,block,,rhodes,erin deery,,519
