,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,MILWB,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,1,09:40,,,,,"TURNOVER  by HARRIS,REBECCA",,,"TURNOVER  by HARRIS,REBECCA",1,turnover,,millsaps,rebecca harris,,580
2,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,2,09:15,,,,,"FOUL  by HARRIS,REBECCA",,,"FOUL  by HARRIS,REBECCA",1,foul,,millsaps,rebecca harris,,555
3,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,3,09:04,"GOOD LAYUP by KELLAM,PAIGE(in the paint)",2 (+2),,0,,CENTRE-W 2-0 (+2),,"GOOD LAYUP by KELLAM,PAIGE(in the paint)",1,layup,good,Centre,paige kellam,2,544
4,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,4,08:46,,,,,"TURNOVER  by WILSON,ANNA",,,"TURNOVER  by WILSON,ANNA",1,turnover,,millsaps,anna wilson,,526
5,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,5,08:30,"MISS JUMPER by STEWART,ABIGAIL",,,,,,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,510
6,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,6,--,,,,,"REBOUND DEF by THOMAS,BRAXTON",,,"REBOUND DEF by THOMAS,BRAXTON",1,defensive rebound,,millsaps,braxton thomas,,
7,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,7,08:16,"FOUL  by SCHAD,OLIVIA",,,,,,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,496
8,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,8,08:16,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,496
9,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,9,08:16,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,496
10,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,10,08:02,,,,,"MISS 3PTR by BUTLER,MILLICENT",,,"MISS 3PTR by BUTLER,MILLICENT",1,three pointer,missed,millsaps,millicent butler,,482
11,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,11,--,"REBOUND DEF by KELLAM,PAIGE",,,,,,,"REBOUND DEF by KELLAM,PAIGE",1,defensive rebound,,Centre,paige kellam,,
12,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,12,07:55,"GOOD 3PTR by WILSON,KATHLEEN",5 (+5),,0,,CENTRE-W 5-0 (+5),,"GOOD 3PTR by WILSON,KATHLEEN",1,three pointer,good,Centre,kathleen wilson,3,475
13,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,13,--,"ASSIST  by KELLAM,PAIGE",,,,,,,"ASSIST  by KELLAM,PAIGE",1,assist,,Centre,paige kellam,,
14,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,14,07:36,,,,,"MISS 3PTR by WILSON,ANNA",,,"MISS 3PTR by WILSON,ANNA",1,three pointer,missed,millsaps,anna wilson,,456
15,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,15,--,"REBOUND DEF by KELLAM,PAIGE",,,,,,,"REBOUND DEF by KELLAM,PAIGE",1,defensive rebound,,Centre,paige kellam,,
16,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,16,07:28,"GOOD JUMPER by KELLAM,PAIGE(fastbreak)",7 (+7),,0,,CENTRE-W 7-0 (+7),,"GOOD JUMPER by KELLAM,PAIGE(fastbreak)",1,jumper,good,Centre,paige(fastbreak) kellam,2,448
17,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,17,07:09,,,,,"MISS LAYUP by BUTLER,MILLICENT",,,"MISS LAYUP by BUTLER,MILLICENT",1,layup,missed,millsaps,millicent butler,,429
18,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,18,--,"REBOUND DEF by RICE,MADISON",,,,,,,"REBOUND DEF by RICE,MADISON",1,defensive rebound,,Centre,madison rice,,
19,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,19,06:58,"MISS 3PTR by RICE,MADISON",,,,,,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,418
20,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,20,--,,,,,"REBOUND DEF by BUTLER,MILLICENT",,,"REBOUND DEF by BUTLER,MILLICENT",1,defensive rebound,,millsaps,millicent butler,,
21,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,21,06:47,"FOUL  by RICE,MADISON",,,,,,,"FOUL  by RICE,MADISON",1,foul,,Centre,madison rice,,407
22,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,22,06:47,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,407
23,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,23,06:47,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,407
24,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,24,06:47,"SUB IN by BALLARD,AMI",,,,,,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,407
25,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,25,06:47,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,407
26,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,26,06:47,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,407
27,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,27,06:47,"SUB OUT by KELLAM,PAIGE",,,,,,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,407
28,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,28,06:47,,,,,"SUB IN by FORTENBERRY,DIA",,,"SUB IN by FORTENBERRY,DIA",1,subbing in,,millsaps,dia fortenberry,,407
29,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,29,06:47,,,,,"SUB IN by DONALDSON,MEGAN",,,"SUB IN by DONALDSON,MEGAN",1,subbing in,,millsaps,megan donaldson,,407
30,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,30,06:47,,,,,"SUB OUT by WILSON,ANNA",,,"SUB OUT by WILSON,ANNA",1,subbing out,,millsaps,anna wilson,,407
31,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,31,06:47,,,,,"SUB OUT by MANNING,TAELOR",,,"SUB OUT by MANNING,TAELOR",1,subbing out,,millsaps,taelor manning,,407
32,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,32,06:45,,7 (+5),,2,"GOOD LAYUP by FORTENBERRY,DIA(in the paint)",MILWB 7-2 (+5),,"GOOD LAYUP by FORTENBERRY,DIA(in the paint)",1,layup,good,millsaps,dia fortenberry,2,405
33,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,33,06:30,"MISS JUMPER by WILSON,KATHLEEN",,,,,,,"MISS JUMPER by WILSON,KATHLEEN",1,jumper,missed,Centre,kathleen wilson,,390
34,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,34,--,,,,,"REBOUND DEF by FORTENBERRY,DIA",,,"REBOUND DEF by FORTENBERRY,DIA",1,defensive rebound,,millsaps,dia fortenberry,,
35,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,35,06:14,,,,,"MISS JUMPER by THOMAS,BRAXTON",,,"MISS JUMPER by THOMAS,BRAXTON",1,jumper,missed,millsaps,braxton thomas,,374
36,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,36,--,"REBOUND DEF by WILSON,KATHLEEN",,,,,,,"REBOUND DEF by WILSON,KATHLEEN",1,defensive rebound,,Centre,kathleen wilson,,
37,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,37,06:03,,,,,"FOUL  by THOMAS,BRAXTON",,,"FOUL  by THOMAS,BRAXTON",1,foul,,millsaps,braxton thomas,,363
38,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,38,06:03,,,,,"FOUL  by MATTHEWS,KASI",,,"FOUL  by MATTHEWS,KASI",1,foul,,millsaps,kasi matthews,,363
39,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,39,06:03,"SUB IN by MARCUM,MADISON",,,,,,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,363
40,21,millsaps,Centre,Millsaps,53-59,53,59,"15, 3, 11, 24, 53","10, 16, 11, 22, 59",15,3,11,24,53,10,16,11,22,59,13-8,8-14,02/04/18,Lose,175,No Location Recorded,12:00 p.m.,A,40,06:03,"SUB OUT by WILSON,KATHLEEN",,,,,,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,363
