,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,1,09:47,,,,,"TURNOVER  by SCHAD,OLIVIA",,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,587
2,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,2,09:40,"MISS LAYUP by PARSONS,EVELINE",,,,,,,"MISS LAYUP by PARSONS,EVELINE",1,layup,missed,berry college,eveline parsons,,580
3,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,3,--,"REBOUND OFF by PARSONS,EVELINE",,,,,,,"REBOUND OFF by PARSONS,EVELINE",1,offensive rebound,,berry college,eveline parsons,,
4,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,4,09:18,"GOOD JUMPER by SMITH,NIA",2 (+2),,0,,BCW 2-0 (-2),,"GOOD JUMPER by SMITH,NIA",1,jumper,good,berry college,nia smith,2,558
5,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,5,09:06,,,,,"TURNOVER  by SCHAD,OLIVIA",,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,546
6,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,6,09:02,"STEAL  by MORNING,JANA",,,,,,,"STEAL  by MORNING,JANA",1,steal,,berry college,,,542
7,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,7,09:00,"MISS JUMPER by SMITH,MCKENZIE",,,,,,,"MISS JUMPER by SMITH,MCKENZIE",1,jumper,missed,berry college,mckenzie smith,,540
8,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,8,--,"REBOUND OFF by SMITH,MCKENZIE",,,,,,,"REBOUND OFF by SMITH,MCKENZIE",1,offensive rebound,,berry college,mckenzie smith,,
9,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,9,09:00,"FOUL  by SMITH,MCKENZIE",,,,,,,"FOUL  by SMITH,MCKENZIE",1,foul,,berry college,mckenzie smith,,540
10,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,10,08:35,,,,,"MISS LAYUP by STEWART,ABIGAIL",,,"MISS LAYUP by STEWART,ABIGAIL",1,layup,missed,Centre,abigail stewart,,515
11,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,11,--,"REBOUND DEF by SMITH,MCKENZIE",,,,,,,"REBOUND DEF by SMITH,MCKENZIE",1,defensive rebound,,berry college,mckenzie smith,,
12,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,12,08:18,"MISS LAYUP by PARSONS,EVELINE",,,,,,,"MISS LAYUP by PARSONS,EVELINE",1,layup,missed,berry college,eveline parsons,,498
13,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,13,--,"REBOUND OFF by WEEMS,ALEX",,,,,,,"REBOUND OFF by WEEMS,ALEX",1,offensive rebound,,berry college,alex weems,,
14,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,14,08:11,"MISS JUMPER by WEEMS,ALEX",,,,,,,"MISS JUMPER by WEEMS,ALEX",1,jumper,missed,berry college,alex weems,,491
15,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,15,08:11,,,,,"BLOCK  by STEWART,ABIGAIL",,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,491
