,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,1,09:50,,0,,2 (+2),"GOOD JUMPER by MCKEE,ASHLEY",BCW 0-2 (-2),,"GOOD JUMPER by MCKEE,ASHLEY",1,jumper,good,berry,ashley mckee,2,590
2,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,2,09:21,"GOOD JUMPER by STEWART,ABIGAIL",2,,2,,CENTRE-W 2-2 (0),,"GOOD JUMPER by STEWART,ABIGAIL",1,jumper,good,Centre,abigail stewart,2,561
3,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,3,--,"ASSIST  by WILSON,KATHLEEN",,,,,,,"ASSIST  by WILSON,KATHLEEN",1,assist,,Centre,kathleen wilson,,
4,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,4,09:01,"FOUL  by WILSON,KATHLEEN",,,,,,,"FOUL  by WILSON,KATHLEEN",1,foul,,Centre,kathleen wilson,,541
5,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,5,08:46,,2,,4 (+2),"GOOD JUMPER by SMITH,MCKENZIE",BCW 2-4 (-2),,"GOOD JUMPER by SMITH,MCKENZIE",1,jumper,good,berry,mckenzie smith,2,526
6,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,6,--,,,,,"ASSIST  by MORNING,JANA",,,"ASSIST  by MORNING,JANA",1,assist,,berry,jana morning,,
7,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,7,08:20,"MISS JUMPER by SCHAD,OLIVIA",,,,,,,"MISS JUMPER by SCHAD,OLIVIA",1,jumper,missed,Centre,olivia schad,,500
8,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,8,--,,,,,"REBOUND DEF by SMITH,NIA",,,"REBOUND DEF by SMITH,NIA",1,defensive rebound,,berry,nia smith,,
9,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,9,08:12,,,,,"MISS LAYUP by SMITH,NIA",,,"MISS LAYUP by SMITH,NIA",1,layup,missed,berry,nia smith,,492
