,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SUWB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,1,09:23,,0,,2 (+2),"GOOD JUMPER by KELLAM,PAIGE",CENTRE-W 0-2 (+2),,"GOOD JUMPER by KELLAM,PAIGE",1,jumper,good,Centre,paige kellam,2,563
2,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,2,09:17,"MISS 3PTR by JUST,ALLISON",,,,,,,"MISS 3PTR by JUST,ALLISON",1,three pointer,missed,spalding,allison just,,557
3,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,3,--,"REBOUND OFF by MYERS,MACKENZIE",,,,,,,"REBOUND OFF by MYERS,MACKENZIE",1,offensive rebound,,spalding,mackenzie myers,,
4,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,4,09:12,"TURNOVER  by MYERS,MACKENZIE",,,,,,,"TURNOVER  by MYERS,MACKENZIE",1,turnover,,spalding,mackenzie myers,,552
5,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,5,08:58,,0,,5 (+5),"GOOD 3PTR by SCHAD,OLIVIA",CENTRE-W 0-5 (+5),,"GOOD 3PTR by SCHAD,OLIVIA",1,three pointer,good,Centre,olivia schad,3,538
6,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,6,--,,,,,"ASSIST  by WILSON,KATHLEEN",,,"ASSIST  by WILSON,KATHLEEN",1,assist,,Centre,kathleen wilson,,
7,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,7,08:38,"TURNOVER  by JUST,ALLISON",,,,,,,"TURNOVER  by JUST,ALLISON",1,turnover,,spalding,allison just,,518
8,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,8,08:27,,,,,"MISS JUMPER by WILSON,KATHLEEN",,,"MISS JUMPER by WILSON,KATHLEEN",1,jumper,missed,Centre,kathleen wilson,,507
9,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,9,--,"REBOUND DEF by MARTIN,ALEX",,,,,,,"REBOUND DEF by MARTIN,ALEX",1,defensive rebound,,spalding,alex martin,,
10,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,10,08:07,"MISS JUMPER by MARTIN,ALEX",,,,,,,"MISS JUMPER by MARTIN,ALEX",1,jumper,missed,spalding,alex martin,,487
11,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,11,--,,,,,"REBOUND DEF by WILSON,KATHLEEN",,,"REBOUND DEF by WILSON,KATHLEEN",1,defensive rebound,,Centre,kathleen wilson,,
12,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,12,07:50,,,,,"SUB IN by BALLARD,AMI",,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,470
13,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,13,07:50,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,470
14,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,14,07:49,,0,,8 (+8),"GOOD 3PTR by WILSON,KATHLEEN",CENTRE-W 0-8 (+8),,"GOOD 3PTR by WILSON,KATHLEEN",1,three pointer,good,Centre,kathleen wilson,3,469
15,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,15,--,,,,,"ASSIST  by BALLARD,AMI",,,"ASSIST  by BALLARD,AMI",1,assist,,Centre,ami ballard,,
16,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,16,07:32,"GOOD JUMPER by JUST,ALLISON",2,,8 (+6),,SUWB 2-8 (+6),,"GOOD JUMPER by JUST,ALLISON",1,jumper,good,spalding,allison just,2,452
17,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,17,--,"ASSIST  by MARTIN,ALEX",,,,,,,"ASSIST  by MARTIN,ALEX",1,assist,,spalding,alex martin,,
18,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,18,07:11,,,,,"MISS JUMPER by WILSON,KATHLEEN",,,"MISS JUMPER by WILSON,KATHLEEN",1,jumper,missed,Centre,kathleen wilson,,431
19,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,19,--,"REBOUND DEF by JUST,ALLISON",,,,,,,"REBOUND DEF by JUST,ALLISON",1,defensive rebound,,spalding,allison just,,
20,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,20,07:01,"MISS JUMPER by GAHAGAN,TSELEM",,,,,,,"MISS JUMPER by GAHAGAN,TSELEM",1,jumper,missed,spalding,tselem gahagan,,421
21,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,21,07:01,,,,,"BLOCK  by STEWART,ABIGAIL",,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,421
22,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,22,--,,,,,"REBOUND DEF by RICE,MADISON",,,"REBOUND DEF by RICE,MADISON",1,defensive rebound,,Centre,madison rice,,
23,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,23,06:49,,,,,"MISS LAYUP by STEWART,ABIGAIL",,,"MISS LAYUP by STEWART,ABIGAIL",1,layup,missed,Centre,abigail stewart,,409
24,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,24,--,,,,,"REBOUND OFF by STEWART,ABIGAIL",,,"REBOUND OFF by STEWART,ABIGAIL",1,offensive rebound,,Centre,abigail stewart,,
25,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,25,06:44,,,,,"MISS LAYUP by STEWART,ABIGAIL",,,"MISS LAYUP by STEWART,ABIGAIL",1,layup,missed,Centre,abigail stewart,,404
26,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,26,--,"REBOUND DEF by JUST,ALLISON",,,,,,,"REBOUND DEF by JUST,ALLISON",1,defensive rebound,,spalding,allison just,,
27,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,27,06:35,"GOOD LAYUP by THORNHILL,JENNA(in the paint)",4,,8 (+4),,SUWB 4-8 (+4),,"GOOD LAYUP by THORNHILL,JENNA(in the paint)",1,layup,good,spalding,jenna thornhill,2,395
28,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,28,06:12,"FOUL  by JUST,ALLISON",,,,,,,"FOUL  by JUST,ALLISON",1,foul,,spalding,allison just,,372
29,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,29,06:12,"SUB IN by RENFRO,HANNAH",,,,,,,"SUB IN by RENFRO,HANNAH",1,subbing in,,spalding,hannah renfro,,372
30,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,30,06:12,"SUB IN by POWELL,KENDYL",,,,,,,"SUB IN by POWELL,KENDYL",1,subbing in,,spalding,kendyl powell,,372
31,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,31,06:12,"SUB IN by GOEING,MEGAN",,,,,,,"SUB IN by GOEING,MEGAN",1,subbing in,,spalding,megan goeing,,372
32,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,32,06:12,"SUB IN by MATTHEWS,LELANDA",,,,,,,"SUB IN by MATTHEWS,LELANDA",1,subbing in,,spalding,lelanda matthews,,372
33,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,33,06:12,"SUB OUT by THORNHILL,JENNA",,,,,,,"SUB OUT by THORNHILL,JENNA",1,subbing out,,spalding,jenna thornhill,,372
34,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,34,06:12,"SUB OUT by JUST,ALLISON",,,,,,,"SUB OUT by JUST,ALLISON",1,subbing out,,spalding,allison just,,372
35,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,35,06:12,"SUB OUT by MYERS,MACKENZIE",,,,,,,"SUB OUT by MYERS,MACKENZIE",1,subbing out,,spalding,mackenzie myers,,372
36,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,36,06:12,"SUB OUT by GAHAGAN,TSELEM",,,,,,,"SUB OUT by GAHAGAN,TSELEM",1,subbing out,,spalding,tselem gahagan,,372
37,3,spalding,Spalding,Centre,55-53,55,53,"16, 11, 7, 21, 55","14, 6, 19, 14, 53",16,11,7,21,55,14,6,19,14,53,3-0,1-3,11/21/17,Win,71,No Location Recorded,7:00 PM,H,37,06:12,,,,,"SUB IN by MARCUM,MADISON",,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,372
