,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,EC-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,1,09:36,,,,,"MISS 3PTR by FLYNN,MARIAH",,,"MISS 3PTR by FLYNN,MARIAH",1,three pointer,missed,earlham college,mariah flynn,,576
2,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,2,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
3,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,3,09:11,"GOOD 3PTR by SCHAD,OLIVIA",3 (+3),,0,,CENTRE-W 3-0 (+3),,"GOOD 3PTR by SCHAD,OLIVIA",1,three pointer,good,Centre,olivia schad,3,551
4,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,4,--,"ASSIST  by STEWART,ABIGAIL",,,,,,,"ASSIST  by STEWART,ABIGAIL",1,assist,,Centre,abigail stewart,,
5,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,5,08:45,,,,,"TURNOVER  by WHITE,CAMRYN",,,"TURNOVER  by WHITE,CAMRYN",1,turnover,,earlham college,camryn white,,525
6,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,6,08:41,"STEAL  by STEWART,ABIGAIL",,,,,,,"STEAL  by STEWART,ABIGAIL",1,steal,,Centre,,,521
7,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,7,08:25,,,,,"FOUL  by WEISNER,AMY",,,"FOUL  by WEISNER,AMY",1,foul,,earlham college,amy weisner,,505
8,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,8,08:13,"GOOD JUMPER by SCHAD,OLIVIA",5 (+5),,0,,CENTRE-W 5-0 (+5),,"GOOD JUMPER by SCHAD,OLIVIA",1,jumper,good,Centre,olivia schad,2,493
9,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,9,--,"ASSIST  by RICE,MADISON",,,,,,,"ASSIST  by RICE,MADISON",1,assist,,Centre,madison rice,,
