,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,FCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,1,09:40,"GOOD 3PTR by WEHBY,ABIGAIL",3 (+3),,0,,CENTRE-W 3-0 (+3),,"GOOD 3PTR by WEHBY,ABIGAIL",1,three pointer,good,Centre,abigail wehby,3,580
2,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,2,--,"ASSIST  by MARCUM,MADISON",,,,,,,"ASSIST  by MARCUM,MADISON",1,assist,,Centre,madison marcum,,
3,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,3,09:21,,3 (+1),,2,"GOOD JUMPER by SELF,MAGGIE",FCW 3-2 (+1),,"GOOD JUMPER by SELF,MAGGIE",1,jumper,good,ferrum,maggie self,2,561
4,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,4,--,,,,,"ASSIST  by MOSLEY,KELSEY",,,"ASSIST  by MOSLEY,KELSEY",1,assist,,ferrum,kelsey mosley,,
5,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,5,09:05,"MISS JUMPER by RICE,MADISON",,,,,,,"MISS JUMPER by RICE,MADISON",1,jumper,missed,Centre,madison rice,,545
6,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,6,--,"REBOUND OFF by STEWART,ABIGAIL",,,,,,,"REBOUND OFF by STEWART,ABIGAIL",1,offensive rebound,,Centre,abigail stewart,,
7,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,7,09:02,"GOOD JUMPER by STEWART,ABIGAIL",5 (+3),,2,,CENTRE-W 5-2 (+3),,"GOOD JUMPER by STEWART,ABIGAIL",1,jumper,good,Centre,abigail stewart,2,542
8,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,8,08:45,"FOUL  by STEWART,ABIGAIL",,,,,,,"FOUL  by STEWART,ABIGAIL",1,foul,,Centre,abigail stewart,,525
9,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,9,08:45,,5 (+2),,3,"GOOD FT by BUNKER,ARIN",FCW 5-3 (+2),,"GOOD FT by BUNKER,ARIN",1,free throw,good,ferrum,arin bunker,1,525
10,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,10,08:45,,5 (+1),,4,"GOOD FT by BUNKER,ARIN",FCW 5-4 (+1),,"GOOD FT by BUNKER,ARIN",1,free throw,good,ferrum,arin bunker,1,525
11,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,11,08:45,"MISS 3PTR by WILSON,KATHLEEN",,,,,,,"MISS 3PTR by WILSON,KATHLEEN",1,three pointer,missed,Centre,kathleen wilson,,525
12,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,12,--,,,,,"REBOUND DEF by NICHOLS,JESSY",,,"REBOUND DEF by NICHOLS,JESSY",1,defensive rebound,,ferrum,jessy nichols,,
13,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,13,08:45,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,525
14,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,14,08:45,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,525
15,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,15,08:25,,,,,"FOUL  by BUNKER,ARIN",,,"FOUL  by BUNKER,ARIN",1,foul,,ferrum,arin bunker,,505
16,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,16,08:24,,,,,"TURNOVER  by BUNKER,ARIN",,,"TURNOVER  by BUNKER,ARIN",1,turnover,,ferrum,arin bunker,,504
17,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,17,08:01,"GOOD 3PTR by MARCUM,MADISON",8 (+4),,4,,CENTRE-W 8-4 (+4),,"GOOD 3PTR by MARCUM,MADISON",1,three pointer,good,Centre,madison marcum,3,481
18,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,18,--,"ASSIST  by WEHBY,ABIGAIL",,,,,,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
