,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,1,09:46,,,,,"MISS LAYUP by RANSOM,LAUREN",,,"MISS LAYUP by RANSOM,LAUREN",1,layup,missed,oglethorpe,lauren ransom,,586
2,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,2,--,"REBOUND DEF by STEWART,ABIGAIL",,,,,,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
3,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,3,09:19,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,559
4,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,4,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
5,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,5,08:58,"FOUL  by STEWART,ABIGAIL",,,,,,,"FOUL  by STEWART,ABIGAIL",1,foul,,Centre,abigail stewart,,538
6,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,6,08:58,,,,,"MISS FT by LEGATE,SAVANNAH",,,"MISS FT by LEGATE,SAVANNAH",1,free throw,missed,oglethorpe,savannah legate,,538
7,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,7,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
8,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,8,08:58,,,,,"MISS FT by LEGATE,SAVANNAH",,,"MISS FT by LEGATE,SAVANNAH",1,free throw,missed,oglethorpe,savannah legate,,538
9,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,9,--,,,,,"REBOUND OFF by RANSOM,LAUREN",,,"REBOUND OFF by RANSOM,LAUREN",1,offensive rebound,,oglethorpe,lauren ransom,,
