,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,1,09:44,,0,,2 (+2),"GOOD JUMPER by OLSEN,EMILEE(in the paint)",BSC 0-2 (-2),,"GOOD JUMPER by OLSEN,EMILEE(in the paint)",1,jumper,good,birmingham-so.,emilee olsen,2,584
2,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,2,09:16,"MISS JUMPER by WILSON,KATHLEEN",,,,,,,"MISS JUMPER by WILSON,KATHLEEN",1,jumper,missed,Centre,kathleen wilson,,556
3,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,3,--,,,,,"REBOUND DEF by HOGAN,KAITLIN",,,"REBOUND DEF by HOGAN,KAITLIN",1,defensive rebound,,birmingham-so.,kaitlin hogan,,
4,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,4,09:02,,,,,"MISS JUMPER by MIDDLETON,LEAH",,,"MISS JUMPER by MIDDLETON,LEAH",1,jumper,missed,birmingham-so.,leah middleton,,542
5,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,5,--,"REBOUND DEF by WILSON,KATHLEEN",,,,,,,"REBOUND DEF by WILSON,KATHLEEN",1,defensive rebound,,Centre,kathleen wilson,,
6,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,6,08:41,"MISS JUMPER by STEWART,ABIGAIL",,,,,,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,521
7,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,7,--,,,,,"REBOUND DEF by HOGAN,KAITLIN",,,"REBOUND DEF by HOGAN,KAITLIN",1,defensive rebound,,birmingham-so.,kaitlin hogan,,
8,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,8,08:17,,0,,4 (+4),"GOOD JUMPER by MIDDLETON,LEAH(in the paint)",BSC 0-4 (-4),,"GOOD JUMPER by MIDDLETON,LEAH(in the paint)",1,jumper,good,birmingham-so.,leah middleton,2,497
9,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,9,07:45,"MISS JUMPER by MARCUM,MADISON",,,,,,,"MISS JUMPER by MARCUM,MADISON",1,jumper,missed,Centre,madison marcum,,465
