,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MER,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,1,09:43,"TURNOVER  by HOLMES,KATHERINE",,,,,,,"TURNOVER  by HOLMES,KATHERINE",1,turnover,,meredith,katherine holmes,,583
2,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,2,09:31,,,,,"MISS LAYUP by WILSON,KATHLEEN",,,"MISS LAYUP by WILSON,KATHLEEN",1,layup,missed,Centre,kathleen wilson,,571
3,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,3,--,"REBOUND DEF by SCHUH,KIMBERLY",,,,,,,"REBOUND DEF by SCHUH,KIMBERLY",1,defensive rebound,,meredith,kimberly schuh,,
4,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,4,09:12,"TURNOVER  by HASSELL,JANAH",,,,,,,"TURNOVER  by HASSELL,JANAH",1,turnover,,meredith,janah hassell,,552
5,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,5,09:10,,,,,"STEAL  by WEHBY,ABIGAIL",,,"STEAL  by WEHBY,ABIGAIL",1,steal,,Centre,,,550
6,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,6,08:47,,0,,3 (+3),"GOOD 3PTR by MARCUM,MADISON",CENTRE-W 0-3 (+3),,"GOOD 3PTR by MARCUM,MADISON",1,three pointer,good,Centre,madison marcum,3,527
7,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,7,--,,,,,"ASSIST  by WEHBY,ABIGAIL",,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
8,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,8,08:20,"MISS JUMPER by SCHUH,KIMBERLY",,,,,,,"MISS JUMPER by SCHUH,KIMBERLY",1,jumper,missed,meredith,kimberly schuh,,500
9,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,9,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
10,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,10,07:56,"FOUL  by COLEMAN,CAROLINE",,,,,,,"FOUL  by COLEMAN,CAROLINE",1,foul,,meredith,caroline coleman,,476
11,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,11,07:56,,0,,4 (+4),"GOOD FT by WILSON,KATHLEEN",CENTRE-W 0-4 (+4),,"GOOD FT by WILSON,KATHLEEN",1,free throw,good,Centre,kathleen wilson,1,476
12,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,12,07:56,,0,,5 (+5),"GOOD FT by WILSON,KATHLEEN",CENTRE-W 0-5 (+5),,"GOOD FT by WILSON,KATHLEEN",1,free throw,good,Centre,kathleen wilson,1,476
13,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,13,07:29,"GOOD 3PTR by COLEMAN,CAROLINE",3,,5 (+2),,MER 3-5 (+2),,"GOOD 3PTR by COLEMAN,CAROLINE",1,three pointer,good,meredith,caroline coleman,3,449
14,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,14,07:05,,,,,"MISS LAYUP by WILSON,KATHLEEN",,,"MISS LAYUP by WILSON,KATHLEEN",1,layup,missed,Centre,kathleen wilson,,425
15,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,15,--,,,,,"REBOUND OFF by WILSON,KATHLEEN",,,"REBOUND OFF by WILSON,KATHLEEN",1,offensive rebound,,Centre,kathleen wilson,,
16,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,16,07:01,,3,,7 (+4),"GOOD LAYUP by WILSON,KATHLEEN(in the paint)",CENTRE-W 3-7 (+4),,"GOOD LAYUP by WILSON,KATHLEEN(in the paint)",1,layup,good,Centre,kathleen wilson,2,421
