,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BSC-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,1,09:37,"MISS 3PTR by MIDDLETON,LEAH",,,,,,,"MISS 3PTR by MIDDLETON,LEAH",1,three pointer,missed,birmingham-southern,leah middleton,,577
2,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,2,--,,,,,"REBOUND DEF by RICE,MADISON",,,"REBOUND DEF by RICE,MADISON",1,defensive rebound,,Centre,madison rice,,
3,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,3,09:09,,0,,2 (+2),"GOOD JUMPER by WILSON,KATHLEEN",CENTRE-W 0-2 (+2),,"GOOD JUMPER by WILSON,KATHLEEN",1,jumper,good,Centre,kathleen wilson,2,549
4,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,4,08:50,"MISS JUMPER by FUJII,MISA",,,,,,,"MISS JUMPER by FUJII,MISA",1,jumper,missed,birmingham-southern,misa fujii,,530
5,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,5,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
6,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,6,08:27,,,,,"MISS LAYUP by WILSON,KATHLEEN",,,"MISS LAYUP by WILSON,KATHLEEN",1,layup,missed,Centre,kathleen wilson,,507
7,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,7,--,"REBOUND DEF by OLSEN,EMILEE",,,,,,,"REBOUND DEF by OLSEN,EMILEE",1,defensive rebound,,birmingham-southern,emilee olsen,,
8,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,8,08:09,"TURNOVER  by MIDDLETON,LEAH",,,,,,,"TURNOVER  by MIDDLETON,LEAH",1,turnover,,birmingham-southern,leah middleton,,489
9,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,9,07:47,,,,,"MISS 3PTR by WILSON,KATHLEEN",,,"MISS 3PTR by WILSON,KATHLEEN",1,three pointer,missed,Centre,kathleen wilson,,467
