,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BERRY,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,0,Start Period 1,,,,,,,,,1,,,,,,
1,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,1,09:42,,0,,2 (+2),"GOOD LAYUP by WEEMS,ALEX(in the paint)",BERRY 0-2 (-2),,"GOOD LAYUP by WEEMS,ALEX(in the paint)",1,layup,good,berry,alex weems,2,582
2,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,2,09:23,"TURNOVER  by RICE,MADISON",,,,,,,"TURNOVER  by RICE,MADISON",1,turnover,,Centre,madison rice,,563
3,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,3,09:11,,,,,"MISS LAYUP by WALTERS,MARY",,,"MISS LAYUP by WALTERS,MARY",1,layup,missed,berry,mary walters,,551
4,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,4,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
5,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,5,08:49,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,529
6,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,6,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
7,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,7,08:21,,,,,"MISS LAYUP by MORNING,JANA",,,"MISS LAYUP by MORNING,JANA",1,layup,missed,berry,jana morning,,501
8,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,8,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
9,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,9,08:20,,,,,"FOUL  by WEEMS,ALEX",,,"FOUL  by WEEMS,ALEX",1,foul,,berry,alex weems,,500
10,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,10,08:14,"MISS JUMPER by RICE,MADISON",,,,,,,"MISS JUMPER by RICE,MADISON",1,jumper,missed,Centre,madison rice,,494
