,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,AUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,0,Start Period 1,,,,,,,,,1,,,,,,
1,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,1,09:44,,,,,"MISS LAYUP by AJAYI,AMANI",,,"MISS LAYUP by AJAYI,AMANI",1,layup,missed,averett,amani ajayi,,584
2,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,2,--,"REBOUND DEF by RICE,MADISON",,,,,,,"REBOUND DEF by RICE,MADISON",1,defensive rebound,,Centre,madison rice,,
3,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,3,09:16,"GOOD LAYUP by WEHBY,ABIGAIL(in the paint)",2 (+2),,0,,CENTRE-W 2-0 (+2),,"GOOD LAYUP by WEHBY,ABIGAIL(in the paint)",1,layup,good,Centre,abigail wehby,2,556
4,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,4,08:45,,,,,"MISS JUMPER by JOHNSON,RAVYN",,,"MISS JUMPER by JOHNSON,RAVYN",1,jumper,missed,averett,ravyn johnson,,525
5,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,5,--,"REBOUND DEF by STEWART,ABIGAIL",,,,,,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
6,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,6,08:27,"MISS JUMPER by WILSON,KATHLEEN",,,,,,,"MISS JUMPER by WILSON,KATHLEEN",1,jumper,missed,Centre,kathleen wilson,,507
7,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,7,--,,,,,"REBOUND DEF by SMITH,KIARA",,,"REBOUND DEF by SMITH,KIARA",1,defensive rebound,,averett,kiara smith,,
8,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,8,08:18,"FOUL  by RICE,MADISON",,,,,,,"FOUL  by RICE,MADISON",1,foul,,Centre,madison rice,,498
9,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,9,08:18,,,,,"MISS FT by AJAYI,AMANI",,,"MISS FT by AJAYI,AMANI",1,free throw,missed,averett,amani ajayi,,498
