,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,MARYMO~2,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,0,Start Period 1,,,,,,,,,1,,,,,,
1,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,1,09:45,"MISS LAYUP by WEHBY,ABIGAIL",,,,,,,"MISS LAYUP by WEHBY,ABIGAIL",1,layup,missed,Centre,abigail wehby,,585
2,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,2,--,,,,,"REBOUND DEF by SHACKELFORD,SYMANTHA",,,"REBOUND DEF by SHACKELFORD,SYMANTHA",1,defensive rebound,,marymount,symantha shackelford,,
3,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,3,09:37,,,,,"TURNOVER  by PHILLIPS,AIDAN",,,"TURNOVER  by PHILLIPS,AIDAN",1,turnover,,marymount,aidan phillips,,577
4,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,4,09:19,"MISS JUMPER by HICKS,ELLEN",,,,,,,"MISS JUMPER by HICKS,ELLEN",1,jumper,missed,Centre,ellen hicks,,559
5,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,5,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
6,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,6,08:38,"FOUL  by WEHBY,ABIGAIL",,,,,,,"FOUL  by WEHBY,ABIGAIL",1,foul,,Centre,abigail wehby,,518
7,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,7,08:38,,0,,1 (+1),"GOOD FT by MCSHEA,KATIE",MARYMO~2 0-1 (-1),,"GOOD FT by MCSHEA,KATIE",1,free throw,good,marymount,katie mcshea,1,518
8,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,8,08:38,,0,,2 (+2),"GOOD FT by MCSHEA,KATIE",MARYMO~2 0-2 (-2),,"GOOD FT by MCSHEA,KATIE",1,free throw,good,marymount,katie mcshea,1,518
9,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,9,08:28,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,508
