,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HOOD,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,0,Start Period 1,,,,,,,,,1,,,,,,
1,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,1,09:38,"MISS LAYUP by KEENEY,LAUREN",,,,,,,"MISS LAYUP by KEENEY,LAUREN",1,layup,missed,hood,lauren keeney,,578
2,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,2,--,,,,,"REBOUND DEF by WEHBY,ABIGAIL",,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
3,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,3,09:09,,,,,"MISS JUMPER by WILSON,KAT",,,"MISS JUMPER by WILSON,KAT",1,jumper,missed,Centre,kat wilson,,549
4,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,4,--,"REBOUND DEF by KEENEY,LAUREN",,,,,,,"REBOUND DEF by KEENEY,LAUREN",1,defensive rebound,,hood,lauren keeney,,
5,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,5,08:52,"TURNOVER  by PITT,EBONY",,,,,,,"TURNOVER  by PITT,EBONY",1,turnover,,hood,ebony pitt,,532
6,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,6,08:51,,,,,"STEAL  by WEHBY,ABIGAIL",,,"STEAL  by WEHBY,ABIGAIL",1,steal,,Centre,,,531
7,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,7,08:48,,0,,2 (+2),"GOOD LAYUP by WEHBY,ABIGAIL(fastbreak)(in the paint)",CENTRE-W 0-2 (+2),,"GOOD LAYUP by WEHBY,ABIGAIL(fastbreak)(in the paint)",1,layup,good,Centre,abigail(fastbreak) wehby,2,528
8,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,8,08:31,"GOOD LAYUP by PITT,EBONY(in the paint)",2,,2,,HOOD 2-2 (0),,"GOOD LAYUP by PITT,EBONY(in the paint)",1,layup,good,hood,ebony pitt,2,511
9,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,9,08:10,,,,,"MISS JUMPER by HICKS,ELLEN",,,"MISS JUMPER by HICKS,ELLEN",1,jumper,missed,Centre,ellen hicks,,490
10,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,10,--,,,,,"REBOUND OFF by FEE,MIKAYLA",,,"REBOUND OFF by FEE,MIKAYLA",1,offensive rebound,,Centre,mikayla fee,,
11,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,11,08:08,,2,,4 (+2),"GOOD LAYUP by FEE,MIKAYLA(in the paint)",CENTRE-W 2-4 (+2),,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",1,layup,good,Centre,mikayla fee,2,488
12,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,12,07:52,"TURNOVER  by PITT,EBONY",,,,,,,"TURNOVER  by PITT,EBONY",1,turnover,,hood,ebony pitt,,472
13,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,13,07:51,,,,,"STEAL  by WEHBY,ABIGAIL",,,"STEAL  by WEHBY,ABIGAIL",1,steal,,Centre,,,471
14,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,14,07:49,"FOUL  by MEIKLEJOHN,SARAH",,,,,,,"FOUL  by MEIKLEJOHN,SARAH",1,foul,,hood,sarah meiklejohn,,469
