,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MSJ,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,1,09:30,"MISS JUMPER by FAIR-HARRIS,JALEAH(in the paint)",,,,,,,"MISS JUMPER by FAIR-HARRIS,JALEAH(in the paint)",1,jumper,missed,mt. st. joseph,jaleah fair-harris,,570
2,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,2,--,,,,,"REBOUND DEF by HICKS,ELLEN",,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
3,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,3,08:59,,,,,"MISS JUMPER by WILSON,KAT(in the paint)",,,"MISS JUMPER by WILSON,KAT(in the paint)",1,jumper,missed,Centre,kat wilson,,539
4,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,4,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
5,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,5,08:35,"MISS JUMPER by HABERTHY,MADDIE(in the paint)",,,,,,,"MISS JUMPER by HABERTHY,MADDIE(in the paint)",1,jumper,missed,mt. st. joseph,maddie haberthy,,515
6,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,6,--,,,,,"REBOUND DEF by FEE,MIKAYLA",,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
7,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,7,08:24,,,,,"TURNOVER  by HICKS,ELLEN",,,"TURNOVER  by HICKS,ELLEN",1,turnover,,Centre,ellen hicks,,504
8,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,8,07:56,,,,,"FOUL  by FEE,MIKAYLA",,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,476
9,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,9,07:56,,,,,"SUB OUT by FEE,MIKAYLA",,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,476
10,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,10,07:56,,,,,"SUB IN by ROBERTS,BRIANNA",,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,476
11,12,mount-st-joseph,Mt. St. Joseph,Centre,58-52,58,52,"9, 19, 17, 13, 58","14, 14, 15, 9, 52",9,19,17,13,58,14,14,15,9,52,"6-5,0-1 SAA","2-8,1-2 HCAC",12/30/19,Win,331,No Location Recorded,5:00 PM,H,11,07:56,"MISS FT by HUFF,ALIYAH",,,,,,,"MISS FT by HUFF,ALIYAH",1,free throw,missed,mt. st. joseph,aliyah huff,,476
