,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,1,09:39,"MISS JUMPER by HICKS,ELLEN",,,,,,,"MISS JUMPER by HICKS,ELLEN",1,jumper,missed,Centre,ellen hicks,,579
2,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,2,--,,,,,"REBOUND DEF by MANNING,TAELOR",,,"REBOUND DEF by MANNING,TAELOR",1,defensive rebound,,millsaps,taelor manning,,
3,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,3,09:07,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1,turnover,,Centre,,,547
4,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,4,08:47,"GOOD LAYUP by HICKS,ELLEN(in the paint)",2 (+2),,0,,Centre 2-0 (+2),,"GOOD LAYUP by HICKS,ELLEN(in the paint)",1,layup,good,Centre,ellen hicks,2,527
5,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,5,--,"ASSIST  by WEHBY,ABIGAIL",,,,,,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
6,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,6,08:25,,,,,"MISS 3PTR by MANNING,TAELOR",,,"MISS 3PTR by MANNING,TAELOR",1,three pointer,missed,millsaps,taelor manning,,505
7,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,7,--,,,,,"REBOUND OFF by WILSON,ANNA",,,"REBOUND OFF by WILSON,ANNA",1,offensive rebound,,millsaps,anna wilson,,
8,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,8,08:20,,,,,"TURNOVER  by WILSON,ANNA",,,"TURNOVER  by WILSON,ANNA",1,turnover,,millsaps,anna wilson,,500
9,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,9,08:20,"STEAL  by MARCUM,MADISON",,,,,,,"STEAL  by MARCUM,MADISON",1,steal,,Centre,,,500
