,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,1,09:35,"MISS JUMPER by HICKS,ELLEN(in the paint)",,,,,,,"MISS JUMPER by HICKS,ELLEN(in the paint)",1,jumper,missed,Centre,ellen hicks,,575
2,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,2,--,,,,,"REBOUND DEF by SMITH,MCKENZIE",,,"REBOUND DEF by SMITH,MCKENZIE",1,defensive rebound,,berry,mckenzie smith,,
3,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,3,09:24,,,,,"MISS 3PTR by SANDMAN,MADELINE",,,"MISS 3PTR by SANDMAN,MADELINE",1,three pointer,missed,berry,madeline sandman,,564
4,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,4,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
5,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,5,09:14,"GOOD LAYUP by HICKS,ELLEN(in the paint)",2 (+2),,0,,Centre 2-0 (+2),,"GOOD LAYUP by HICKS,ELLEN(in the paint)",1,layup,good,Centre,ellen hicks,2,554
6,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,6,08:50,,2,,2,"GOOD LAYUP by SANDMAN,MADELINE(in the paint)",Berry 2-2 (0),,"GOOD LAYUP by SANDMAN,MADELINE(in the paint)",1,layup,good,berry,madeline sandman,2,530
7,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,7,08:50,"FOUL  by HICKS,ELLEN",,,,,,,"FOUL  by HICKS,ELLEN",1,foul,,Centre,ellen hicks,,530
8,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,8,08:50,,2,,3 (+1),"GOOD FT by SANDMAN,MADELINE",Berry 2-3 (-1),,"GOOD FT by SANDMAN,MADELINE",1,free throw,good,berry,madeline sandman,1,530
9,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,9,08:32,"SUB OUT by HICKS,ELLEN",,,,,,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,512
