,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,1,09:44,"MISS JUMPER by WRIGHT,HUNTER",,,,,,,"MISS JUMPER by WRIGHT,HUNTER",1,jumper,missed,spalding,hunter wright,,584
2,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,2,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
3,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,3,09:21,,0,,2 (+2),"GOOD JUMPER by WILSON,KAT(in the paint)",Centre 0-2 (+2),,"GOOD JUMPER by WILSON,KAT(in the paint)",1,jumper,good,Centre,kat wilson,2,561
4,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,4,09:08,"MISS 3PTR by ANTHONY,BREANNA",,,,,,,"MISS 3PTR by ANTHONY,BREANNA",1,three pointer,missed,spalding,breanna anthony,,548
5,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,5,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
6,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,6,09:01,"MISS JUMPER by WRIGHT,HUNTER",,,,,,,"MISS JUMPER by WRIGHT,HUNTER",1,jumper,missed,spalding,hunter wright,,541
7,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,7,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
8,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,8,08:44,,,,,"MISS JUMPER by HICKS,ELLEN(in the paint)",,,"MISS JUMPER by HICKS,ELLEN(in the paint)",1,jumper,missed,Centre,ellen hicks,,524
9,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,9,--,"REBOUND DEF by ANTHONY,BREANNA",,,,,,,"REBOUND DEF by ANTHONY,BREANNA",1,defensive rebound,,spalding,breanna anthony,,
10,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,10,08:30,"MISS JUMPER by WRIGHT,HUNTER(in the paint)",,,,,,,"MISS JUMPER by WRIGHT,HUNTER(in the paint)",1,jumper,missed,spalding,hunter wright,,510
11,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,11,--,,,,,"REBOUND DEF by FEE,MIKAYLA",,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
12,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,12,08:15,,,,,"MISS JUMPER by WILSON,KAT(in the paint)",,,"MISS JUMPER by WILSON,KAT(in the paint)",1,jumper,missed,Centre,kat wilson,,495
13,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,13,--,,,,,"REBOUND OFF by WILSON,KAT",,,"REBOUND OFF by WILSON,KAT",1,offensive rebound,,Centre,kat wilson,,
14,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,14,08:07,,,,,"MISS JUMPER by HICKS,ELLEN(in the paint)",,,"MISS JUMPER by HICKS,ELLEN(in the paint)",1,jumper,missed,Centre,ellen hicks,,487
15,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,15,--,,,,,"REBOUND OFF by HICKS,ELLEN",,,"REBOUND OFF by HICKS,ELLEN",1,offensive rebound,,Centre,ellen hicks,,
16,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,16,08:02,,,,,"MISS JUMPER by HICKS,ELLEN",,,"MISS JUMPER by HICKS,ELLEN",1,jumper,missed,Centre,ellen hicks,,482
17,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,17,--,"REBOUND DEF by JUST,ALLISON",,,,,,,"REBOUND DEF by JUST,ALLISON",1,defensive rebound,,spalding,allison just,,
