,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Han,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,1,09:34,"MISS JUMPER by COURTNEY,SAVANNAH(in the paint)",,,,,,,"MISS JUMPER by COURTNEY,SAVANNAH(in the paint)",1,jumper,missed,hanover,savannah courtney,,574
2,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,2,--,,,,,"REBOUND DEF by HICKS,ELLEN",,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
3,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,3,09:13,,,,,"MISS 3PTR by MARCUM,MADISON",,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,553
4,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,4,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
5,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,5,08:55,"GOOD JUMPER by COURTNEY,SAVANNAH",2 (+2),,0,,Han 2-0 (-2),,"GOOD JUMPER by COURTNEY,SAVANNAH",1,jumper,good,hanover,savannah courtney,2,535
6,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,6,--,"ASSIST  by NALL,ALEXIS",,,,,,,"ASSIST  by NALL,ALEXIS",1,assist,,hanover,alexis nall,,
7,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,7,08:37,,2,,2,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",Centre 2-2 (0),,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",1,layup,good,Centre,mikayla fee,2,517
8,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,8,--,,,,,"ASSIST  by WEHBY,ABIGAIL",,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
9,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,9,08:24,"MISS LAYUP by COURTNEY,SAVANNAH(in the paint)",,,,,,,"MISS LAYUP by COURTNEY,SAVANNAH(in the paint)",1,layup,missed,hanover,savannah courtney,,504
10,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,10,08:24,,,,,"BLOCK  by WILSON,KAT",,,"BLOCK  by WILSON,KAT",1,block,,Centre,kat wilson,,504
11,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,11,--,,,,,"REBOUND DEF by WILSON,KAT",,,"REBOUND DEF by WILSON,KAT",1,defensive rebound,,Centre,kat wilson,,
12,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,12,07:59,"FOUL  by COURTNEY,SAVANNAH",,,,,,,"FOUL  by COURTNEY,SAVANNAH",1,foul,,hanover,savannah courtney,,479
13,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,13,07:59,,2,,3 (+1),"GOOD FT by HICKS,ELLEN",Centre 2-3 (+1),,"GOOD FT by HICKS,ELLEN",1,free throw,good,Centre,ellen hicks,1,479
14,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,14,07:59,,2,,4 (+2),"GOOD FT by HICKS,ELLEN",Centre 2-4 (+2),,"GOOD FT by HICKS,ELLEN",1,free throw,good,Centre,ellen hicks,1,479
15,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,15,07:52,"MISS JUMPER by HARTMAN,KATIE(in the paint)",,,,,,,"MISS JUMPER by HARTMAN,KATIE(in the paint)",1,jumper,missed,hanover,katie hartman,,472
16,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,16,--,,,,,"REBOUND DEF by HICKS,ELLEN",,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
17,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,17,07:41,,,,,"MISS JUMPER by FEE,MIKAYLA(in the paint)",,,"MISS JUMPER by FEE,MIKAYLA(in the paint)",1,jumper,missed,Centre,mikayla fee,,461
18,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,18,--,"REBOUND DEF by MILLS,KRISTIN",,,,,,,"REBOUND DEF by MILLS,KRISTIN",1,defensive rebound,,hanover,kristin mills,,
19,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,19,07:23,"GOOD 3PTR by HARTMAN,KATIE",5 (+1),,4,,Han 5-4 (-1),,"GOOD 3PTR by HARTMAN,KATIE",1,three pointer,good,hanover,katie hartman,3,443
20,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,20,--,"ASSIST  by MILLS,KRISTIN",,,,,,,"ASSIST  by MILLS,KRISTIN",1,assist,,hanover,kristin mills,,
21,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,21,07:13,"FOUL  by COURTNEY,SAVANNAH",,,,,,,"FOUL  by COURTNEY,SAVANNAH",1,foul,,hanover,savannah courtney,,433
22,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,22,07:13,"SUB OUT by COURTNEY,SAVANNAH",,,,,,,"SUB OUT by COURTNEY,SAVANNAH",1,subbing out,,hanover,savannah courtney,,433
23,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,23,07:13,"SUB IN by BAUER,ANNA",,,,,,,"SUB IN by BAUER,ANNA",1,subbing in,,hanover,anna bauer,,433
24,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,24,07:01,,5,,6 (+1),"GOOD JUMPER by WEHBY,ABIGAIL",Centre 5-6 (+1),,"GOOD JUMPER by WEHBY,ABIGAIL",1,jumper,good,Centre,abigail wehby,2,421
25,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,25,--,,,,,"ASSIST  by WILSON,KAT",,,"ASSIST  by WILSON,KAT",1,assist,,Centre,kat wilson,,
26,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,26,06:54,"MISS JUMPER by HARTMAN,KATIE(in the paint)",,,,,,,"MISS JUMPER by HARTMAN,KATIE(in the paint)",1,jumper,missed,hanover,katie hartman,,414
27,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,27,--,,,,,"REBOUND DEF by HICKS,ELLEN",,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
28,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,28,06:39,"FOUL  by BAUER,ANNA",,,,,,,"FOUL  by BAUER,ANNA",1,foul,,hanover,anna bauer,,399
