,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,1,09:41,"MISS JUMPER by FEE,MIKAYLA",,,,,,,"MISS JUMPER by FEE,MIKAYLA",1,jumper,missed,Centre,mikayla fee,,581
2,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,2,--,"REBOUND OFF by HICKS,ELLEN",,,,,,,"REBOUND OFF by HICKS,ELLEN",1,offensive rebound,,Centre,ellen hicks,,
3,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,3,09:36,"GOOD LAYUP by HICKS,ELLEN(in the paint)",2 (+2),,0,,CENTRE-W 2-0 (+2),,"GOOD LAYUP by HICKS,ELLEN(in the paint)",1,layup,good,Centre,ellen hicks,2,576
4,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,4,09:19,,,,,"TURNOVER  by BOMBASSI,BELLA",,,"TURNOVER  by BOMBASSI,BELLA",1,turnover,,sewanee,bella bombassi,,559
5,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,5,09:03,"MISS JUMPER by FEE,MIKAYLA",,,,,,,"MISS JUMPER by FEE,MIKAYLA",1,jumper,missed,Centre,mikayla fee,,543
6,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,6,--,,,,,"REBOUND DEF by WALLER,RAQUEL",,,"REBOUND DEF by WALLER,RAQUEL",1,defensive rebound,,sewanee,raquel waller,,
7,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,7,08:42,,2,,3 (+1),"GOOD 3PTR by LOGAN,KINSLEY",SEWANEE 2-3 (-1),,"GOOD 3PTR by LOGAN,KINSLEY",1,three pointer,good,sewanee,kinsley logan,3,522
8,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,8,08:22,"GOOD 3PTR by MARCUM,MADISON",5 (+2),,3,,CENTRE-W 5-3 (+2),,"GOOD 3PTR by MARCUM,MADISON",1,three pointer,good,Centre,madison marcum,3,502
9,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,9,--,"ASSIST  by WILSON,KAT",,,,,,,"ASSIST  by WILSON,KAT",1,assist,,Centre,kat wilson,,
