,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,CC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,0,Start Period 1,,,,,,,,,1,,,,,,
1,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,1,09:50,"TURNOVER  by PAPENBURG,PEYTON",,,,,,,"TURNOVER  by PAPENBURG,PEYTON",1,turnover,,belhaven,peyton papenburg,,590
2,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,2,09:38,,,,,"MISS JUMPER by WEHBY,ABIGAIL",,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,578
3,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,3,--,"REBOUND DEF by COLLINS,MARIAH",,,,,,,"REBOUND DEF by COLLINS,MARIAH",1,defensive rebound,,belhaven,mariah collins,,
4,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,4,09:29,"MISS LAYUP by COLLIER,JANAE",,,,,,,"MISS LAYUP by COLLIER,JANAE",1,layup,missed,belhaven,janae collier,,569
5,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,5,--,,,,,"REBOUND DEF by WILSON,KAT",,,"REBOUND DEF by WILSON,KAT",1,defensive rebound,,Centre,kat wilson,,
6,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,6,09:22,,0,,2 (+2),"GOOD JUMPER by WILSON,KAT(fastbreak)(in the paint)",CC 0-2 (+2),,"GOOD JUMPER by WILSON,KAT(fastbreak)(in the paint)",1,jumper,good,Centre,kat(fastbreak) wilson,2,562
7,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,7,09:05,,,,,"FOUL  by MARCUM,MADISON",,,"FOUL  by MARCUM,MADISON",1,foul,,Centre,madison marcum,,545
8,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,8,09:05,"MISS FT by COLLINS,MARIAH",,,,,,,"MISS FT by COLLINS,MARIAH",1,free throw,missed,belhaven,mariah collins,,545
9,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,9,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
10,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,10,09:05,"GOOD FT by COLLINS,MARIAH",1,,2 (+1),,BU 1-2 (+1),,"GOOD FT by COLLINS,MARIAH",1,free throw,good,belhaven,mariah collins,1,545
