,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,LETU,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,0,Start Period 1,,,,,,,,,1,,,,,,
1,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,1,09:48,,,,,"MISS JUMPER by CRUZ,VANESSA",,,"MISS JUMPER by CRUZ,VANESSA",1,jumper,missed,letourneau,vanessa cruz,,588
2,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,2,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
3,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,3,09:18,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,558
4,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,4,--,,,,,"REBOUND DEF by HARDEMAN,KYNDALL",,,"REBOUND DEF by HARDEMAN,KYNDALL",1,defensive rebound,,letourneau,kyndall hardeman,,
5,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,5,09:00,,,,,"MISS JUMPER by HARDEMAN,KYNDALL",,,"MISS JUMPER by HARDEMAN,KYNDALL",1,jumper,missed,letourneau,kyndall hardeman,,540
6,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,6,--,,,,,"REBOUND OFF by WHITFIELD,KEAUNA",,,"REBOUND OFF by WHITFIELD,KEAUNA",1,offensive rebound,,letourneau,keauna whitfield,,
7,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,7,08:38,,,,,"MISS JUMPER by HARDEMAN,KYNDALL",,,"MISS JUMPER by HARDEMAN,KYNDALL",1,jumper,missed,letourneau,kyndall hardeman,,518
8,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,8,--,,,,,"REBOUND OFF by AKINGBADE,FLORA",,,"REBOUND OFF by AKINGBADE,FLORA",1,offensive rebound,,letourneau,flora akingbade,,
9,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,9,08:33,,,,,"TURNOVER  by AKINGBADE,FLORA",,,"TURNOVER  by AKINGBADE,FLORA",1,turnover,,letourneau,flora akingbade,,513
