,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,1,09:39,"MISS JUMPER by WEHBY,ABIGAIL",,,,,,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,579
2,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,2,09:39,,,,,"BLOCK  by JENKINS,KESSIE",,,"BLOCK  by JENKINS,KESSIE",1,block,,hendrix,kessie jenkins,,579
3,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,3,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
4,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,4,09:07,,0,,2 (+2),"GOOD JUMPER by PIERCE,MADI",HENDRIX 0-2 (-2),,"GOOD JUMPER by PIERCE,MADI",1,jumper,good,hendrix,madi pierce,2,547
5,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,5,--,,,,,"ASSIST  by GUTIERREZ,ANISSA",,,"ASSIST  by GUTIERREZ,ANISSA",1,assist,,hendrix,anissa gutierrez,,
6,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,6,08:51,"GOOD JUMPER by HICKS,ELLEN",2,,2,,CENTRE 2-2 (0),,"GOOD JUMPER by HICKS,ELLEN",1,jumper,good,Centre,ellen hicks,2,531
7,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,7,--,"ASSIST  by MARCUM,MADISON",,,,,,,"ASSIST  by MARCUM,MADISON",1,assist,,Centre,madison marcum,,
8,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,8,08:42,"FOUL  by MORRIS,TAYLOR",,,,,,,"FOUL  by MORRIS,TAYLOR",1,foul,,Centre,taylor morris,,522
9,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,9,08:42,,,,,"MISS FT by GUTIERREZ,ANISSA",,,"MISS FT by GUTIERREZ,ANISSA",1,free throw,missed,hendrix,anissa gutierrez,,522
